"gvkey","tic","aco","acominc","ao","aoloch","aqc","bkvlps","caps","ch","chech","csho","cstk","dlc","dltt","dvt","ebit","epspi","nopi","re","rect","revt","siv","sstk","teq","tstk","wcap","restmt_at_mag","restmt_capx_mag","restmt_cogs_mag","restmt_epspi_mag","restmt_ni_mag","restmt_nopi_mag","restmt_reuna_mag","restmt_teq_mag","restmt_txt_mag","restmt_wcap_mag","restmt_xint_mag","cshtrd_m","prccd_m","prcod_m","trfd_m","trfm_m","pe_ratio","wc_ratio","de_ratio","roe_ratio","sp_rating_target","restmt_at_target","restmt_capx_target","restmt_cogs_target","restmt_dltt_target","restmt_epspi_target","restmt_ib_target","restmt_ni_target","restmt_nopi_target","restmt_reuna_target","restmt_teq_target","restmt_txt_target","restmt_wcap_target","restmt_xint_target","litigated","litigation_settlement"
63863,"USNA",16.09425,5.5725,14.61975,9.2505,10.6735,13.227575,49.748,70.68925,30.92125,14.658,0.01475,0,0,0,91.71575,4.145,0.2775,141.52975,8.5855,616.621,0,3.20175,191.2925,0,65.9715,0,0,0,0,0,0,0,0,0,0,0,111926.326889279,47.0900263620387,47.046342970123,1.00840336,1,11.3606818726269,1.71787379331751,0.416839395167087,0.316086621273704,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"1",NA
63927,"UNFI",51.13175,1.12775,21.02775,-4.479,25.01225,18.66685,319.27175,14.4755,0.2105,47.59125,0.47575,102.85475,82.18475,0,150.32325,1.815,1.14425,575.1005,281.32075,4896.8825,0,41.61425,894.494,0.354,476.228,0,0,-0.0095,0,0,-284.46325,0,0,0,0,0,326294.5228471,48.3682280316344,48.3384824253076,1.10704,1,26.6491614499363,1.57665978286652,0.642168924553994,0.0961968442493745,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
64028,"NUS",100.95875,-54.7885,122.6675,-13.1195,6.05625,10.368,315.85525,337.12225,91.777,60.45,0.091,40.829,127.443,46.67875,344.6285,3.635,2.401,942.8995,40.7045,2156.908,0,22.45725,623.679,635.16675,278.959,0,0,0,0,0,0,0,0,0,0,0,1098496.87873462,51.4562126537786,51.4822144112478,1.28633560659051,1.27762810884459,14.1557668923737,1.13033893447983,0.94697472578041,0.351107701237335,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"1",NA
64102,"SNAK",2.1355,-0.3385,0.99075,0.438,11.812,2.51885,28.71325,0.7435,-0.048,18.737,0.191,3.11825,31.63675,0,9.20625,0.2875,0.001,18.97975,17.1525,174.2445,0,0.11525,47.413,0.471,25.6575,0,0,-0.0665,0,0,-3950,0,0,0,0,0,54176.8752196837,6.3619572056239,6.35604490333919,1.0019084,1,22.1285468021701,0.805048018994268,1.33470250775104,0.112590428785354,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
64275,"CALM",1.434,-0.094,6.66675,4.72775,18.85375,18.7298,34.70525,69.811,-10.47475,23.93125,0.375,15.887,75.1315,22.74025,89.75,2.815,14.29575,434.17025,64.07125,1063.336,134.05425,0.28725,448.30125,20.8275,263.49425,0,0,0.2955,0,0,43.897,0,0,0,0,0,114276.749560633,40.1279893673111,40.1061449033392,1.26809532332162,1.27177832909763,14.2550583898086,1.63039337866048,0.530260065079007,0.14991035603849,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
64641,"RBCL",1.11825,0.12675,0.04925,-0.0155,0,1.34775,13.66375,3.93,-0.0565,17.22475,0.017,0.19,1.43975,0,-0.1395,-0.055,0,-4.11375,0.7155,26.809,0,0.01125,9.567,0,5.141,0,0,0.36225,383.33325,0,0,0,0,0,0,0,4146.60176211454,0.426832863436123,649.085914801762,1.08477612,1,-7.76059751702042,1.31805515239477,0.90022995714435,-0.00977317863489077,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.153024911032028,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
64708,"SHF",4.77733333333333,-0.0763333333333333,1.27233333333333,1.73433333333333,62.9883333333333,3.61666666666667,90.3896666666667,26.6406666666667,-14.6803333333333,28.5633333333333,0.286,1.13333333333333,44.1206666666667,16.9066666666667,27.3196666666667,0.52,0.145666666666667,12.6866666666667,25.6163333333333,225.815333333333,14.0783333333333,0.221,103.362333333333,0,70.3543333333333,0,0,0,0,0,-1947.00266666667,0,0,0,0,0,96546.8172043011,12.3788306451613,12.3600739247312,1.85624966293011,1.89571220474142,23.8054435483871,1.07913249626833,0.918210050727699,0.14452395618004,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
64791,"WILC",1.1775,0.18975,0.29675,-1.0905,0,7.035425,34.895,16.7465,-3.31775,12.8475,0.3945,1.075,0.02175,0,7.2055,0.54,2.00075,56.4075,25.8895,85.28525,0,4.949,90.69225,1.394,78.155,0,0,0,0,0,0,0,0,0,0,0,27899.9437609842,6.20793901581722,6.633625,1.03084833,1.03076923076923,11.4961833626245,7.36596684179324,0.134843385184511,0.0781158257734261,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
65105,"BJ",62.27,-0.1575,28.0175,2.145,0,20.11775,233.371,80.051,25.0965,54.109,0.744,0.574,0.27,0,231.698,2.135,-9.0985,1499.633,134.166,10532.11,0,15.8055,1088.838,644.91,235.8735,0.12,0,-0.725,-0.405,-0.3275,-1856.141,-0.267,-0.378,0.8715,0,0,1331016.68480726,44.0724263038549,44.0762244897959,1.00000044253968,1.00000929333482,20.6428226247564,1.06699014668718,1.06080335183012,0.104295588508116,0.122641509433962,0.150943396226415,0.134146341463415,0.142414860681115,0.135353535353535,0.153024911032028,0.154676258992806,0.154440154440154,0.142857142857143,0.149253731343284,0.151291512915129,0.152985074626866,0.132382892057026,0.13034188034188,"1",NA
65343,"PSMT",29.654,-28.561,45.76975,26.47525,0.95,13.3966,384.413,90.82125,19.42025,30.06075,0.003,10.3225,61.28525,17.2705,100.9835,2.1875,1.2055,36.1135,5.33225,1865.17375,0,0.30775,402.961,17.5685,84.121,0,0,-0.03575,0,0,38.618,0,0,0,0,0,164634.606326889,64.7755659050967,64.7255844463972,1.23929441135325,1.23860931191385,29.6116872709013,1.04466885743175,0.73629954263564,0.163136755169855,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
65459,"SPB",85.61975,-23.47475,84.876,-1.99775,399.136,19.101,1375.13925,169.5615,27.36425,51.73475,0.5255,39.03375,2006.85175,23.2935,351.4815,-1.7175,-4.3055,-366.853,430.27,3272.98575,0,7.46275,998.51675,21.06375,489.912,0,0,0,0,0,8158.4015,0,0,0,0,0,184361.318101933,42.5942987697715,42.549848857645,1.01610443412127,1.01610751599458,-24.8001739561989,0.371943717153043,3.22592610489509,-0.0680889929988656,0.134328358208955,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
66016,"INGR",75.5,-415.25,150,-68,321.75,29.426425,1145,471.5,99.75,75.81225,1,101.25,1730.75,70.75,578.2,4.6025,23.05,1152.75,804.5,6174.25,0,22,2255.75,68.5,1214.75,0,0,0,0,0,-160.664,0,0,0,0,-6.07325,586278.753954306,54.287223198594,54.2587894551845,1.20578104673111,1.20780441026819,11.7951598476033,0.684338718843874,1.36506705087,0.156156488972626,0.148275862068966,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.145390070921986,"0",NA
66073,"PHLI",0.078,0,0.0105,0.027,0,0.04635,20.7375,0.44,0.2325,18.6785,0.0465,0.077,0,0,-0.617,-0.035,0.004,-19.891,0.393,7.058,0,0.5475,0.893,0,0.8425,0,0,0,0,0,0,0,0,0,0,0,15357.8304042179,0.144876713532513,10.669164059754,1.0036784,1,-4.13933467235752,2.10130718954248,0.856662933930571,-0.698208286674132,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
