"gvkey","tic","aco","acominc","ao","aoloch","aqc","bkvlps","caps","ch","chech","csho","cstk","dlc","dltt","dvt","ebit","epspi","nopi","re","rect","revt","siv","sstk","teq","tstk","wcap","restmt_at_mag","restmt_capx_mag","restmt_cogs_mag","restmt_epspi_mag","restmt_ni_mag","restmt_nopi_mag","restmt_reuna_mag","restmt_teq_mag","restmt_txt_mag","restmt_wcap_mag","restmt_xint_mag","cshtrd_m","prccd_m","prcod_m","trfd_m","trfm_m","pe_ratio","wc_ratio","de_ratio","roe_ratio","sp_rating_target","restmt_at_target","restmt_capx_target","restmt_cogs_target","restmt_dltt_target","restmt_epspi_target","restmt_ib_target","restmt_ni_target","restmt_nopi_target","restmt_reuna_target","restmt_teq_target","restmt_txt_target","restmt_wcap_target","restmt_xint_target","litigated","litigation_settlement","class_probabilities_litigated"
22789,"3SIAF",-0.250811496085129,0.144777997810977,-0.369784505697235,-0.0765465021722365,-0.234377239341706,-0.0889452646414545,-0.270749452481273,-0.37029230174513,-0.259037017462198,-0.248550402188082,-0.239634191298565,-0.241174269048516,-0.348375735297421,-0.286756891671085,-0.292013542288167,-0.084704576200533,-0.221705378901225,-0.260101944603175,-0.316100355865532,-0.246193353426182,-0.210969419740217,-0.328199639536139,-0.28746122815775,-0.234648919355959,-0.134829403208927,-0.0151698040360147,0.0639943763888897,-1.80424170280154,-0.0835218515831677,-0.0633588403205444,0.063150687822853,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.259448822600747,-0.213116723400854,-0.22575974093934,-0.133051954376514,-0.291496226255254,-0.0891944234673148,2.29438139922109,-0.101721281007853,0.0718964189906949,-0.624929545145042,-0.252675927001541,-0.181828785978881,1.54960522012209,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,0.777184704080713,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.03
22817,"FHCO",-0.325722426382274,0.141055231417754,-0.349613481826787,-0.0550441697826874,-0.238612102732885,-0.0889571937645661,-0.277369962344121,-0.36865723592344,-0.247501697083569,-0.343657605262618,-0.239377964977606,-0.243960610395815,-0.348764915221118,-0.280226124179536,-0.310190815926184,-0.091505611536363,-0.224492564757988,-0.281526697811171,-0.351219700434342,-0.249227558140743,-0.210870599656237,-0.326228586323402,-0.309832267831396,-0.232392457013071,-0.197838177307,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.395562524939714,-0.175545462526907,-0.193922796405893,-0.128585855456851,-0.270625994171812,-0.089191737507342,1.42704925597571,-0.0930073759379215,0.0928833616725552,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.02
187142,"BRND",-0.329970748922092,0.141495004095657,-0.369755800522354,-0.0490769066870193,-0.238612102732885,-0.0889687420603364,-0.306662749234904,-0.374144859636656,-0.257270055757603,-0.304978890370367,-0.239679228704149,-0.243906156765267,-0.34861551755402,-0.28851606280023,-0.313796257966513,-0.128061176466449,-0.296330989852239,-0.277794906091126,-0.354141302450363,-0.250065445525737,-0.210969419740217,-0.328199639536139,-0.314710717110041,-0.235021322039958,-0.206178920885128,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672761619394695,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,3.9795063402222,-0.19344532076497,-0.228445789702985,-0.132421134613855,-0.298647085477736,-0.0891987511069629,-0.748731077131282,-0.263185118164684,0.135426673676804,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,0.777184704080713,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.01
23667,"AHONY",1.15358420132848,-0.313297573128083,2.70615900348434,0.489947356480285,0.490423347006785,-0.0888834167344508,4.9533060640712,2.85295853261662,-0.551911727568222,1.25544539593608,0.296027016915552,0.0175204348350728,0.763833947052939,0.408531088845988,0.444580786272883,-0.00445235923773965,0.319398367185271,-0.99618915997844,0.400770225874056,1.06302680413822,-0.210969419740217,-0.328199639536139,0.726353133535864,-0.235021322039958,0.795570611847103,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.438933045476613,-0.12177954805132,-0.204382727296902,-0.072283640285919,-0.0215408051790122,-0.0891931733503975,-0.403504954960145,0.0944573508825647,0.072370871102333,1.83437848762555,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.17
13765,"NAII",-0.326038142048053,0.141285129763548,-0.366584391290404,-0.0513199920536362,-0.238612102732885,-0.0889096996880879,-0.298204234190561,-0.359957903350023,-0.236851472695907,-0.376501236226543,-0.239655797080974,-0.243967270192357,-0.348765781101489,-0.28851606280023,-0.311985753805432,-0.0809640067658266,-0.224269331816682,-0.272186397276061,-0.349749145382937,-0.248047757247871,-0.210969419740217,-0.327946940406301,-0.307976476361462,-0.234307599882651,-0.186795241391621,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.430943252507003,-0.177331344600903,-0.193796504981885,-0.126398732362342,-0.298647085477736,-0.0891926877407813,2.1071224979674,-0.0928387194272033,0.0630727618116211,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.02
144383,"CMFO",-0.329154485536571,0.149616945545623,-0.369784505697235,-0.0259311589220036,-0.239391945075049,-0.0889209132042673,-0.285286593364292,-0.36831870978186,-0.27085444872846,-0.341557856206998,-0.239707224929242,-0.241013454549666,-0.348765781101489,-0.28851606280023,-0.308022324612163,-0.0970031150994922,-0.222771649539946,-0.263256872974951,-0.313664032287241,-0.24561999752054,-0.210969419740217,-0.239595267541215,-0.296782500040641,-0.235021322039958,-0.152047579042746,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.374664167488718,-0.202537663099731,-0.216867773345055,-0.133080292134156,-0.291452719889768,-0.089193319025648,3.0676412996418,-0.102692489113188,0.0603178403920334,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.07
25027,"LFVN",-0.326101941944852,0.141452311387235,-0.367308171771334,-0.0567119756627029,-0.238612102732885,-0.0889653556838801,-0.273572793458828,-0.358987107146747,-0.215874051654513,-0.236718515816162,-0.239624453481141,-0.243659744293218,-0.34875772175342,-0.28851606280023,-0.309667833651659,-0.128911305883428,-0.292630226409092,-0.28652945973281,-0.3531552573363,-0.247041819759733,-0.210506200596559,-0.318208135680716,-0.311863782897923,-0.235021322039958,-0.197601471820389,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.236062626259476,-0.206932823906271,-0.220628118095761,-0.117511313419564,-0.298647085477736,-0.0891964048675376,-0.135108237131315,0.418529339468699,-0.0784777028197145,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.02
184767,"BORN",-0.288342254494262,0.141418308345129,-0.361503062744046,-0.130925552589927,-0.238612102732885,-0.0888750958703922,-0.274316789295141,-0.304319338976588,-0.153437636101913,-0.347375576128075,-0.239709659383598,-0.166032764048371,-0.342736389653116,-0.28851606280023,-0.290514699726658,-0.0326766558814339,-0.221945386572224,-0.252029626316714,-0.319149115138168,-0.238460701305022,-0.210969419740217,-0.242934558361307,-0.284654435483596,-0.235021322039958,-0.168100781091389,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.286009441079568,-0.187973313361664,-0.204353812703765,-0.113738932123009,-0.298647085477736,-0.089194062193612,-0.0597548734971052,-0.0204263098723716,0.067068553576131,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.22
25031,"GWSV",-0.327244710684583,0.141763628128293,-0.359193833943345,-0.057572371736962,-0.238612102732885,-0.0890613079060513,-0.297339839786835,-0.369885401215602,-0.257827278598632,-0.382504258613033,-0.239685010533245,-0.24271248617332,-0.313518122412299,-0.28851606280023,-0.311363662470317,-0.23959815597406,-0.226601019244076,-0.282678674805532,-0.35168399289992,-0.246600993476698,-0.210969419740217,-0.296328785804217,-0.318636623749409,-0.222086734097149,-0.205167454123447,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.438703145141357,-0.0434361404725576,-0.0220934440990988,-0.125785048997005,-0.260786943710238,-0.0891972475294232,-0.698556446049396,-0.570172436371715,0.064520683149628,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.02
17285,"CWGL",-0.327184663722889,0.141489336921972,-0.369784505697235,-0.0441567531831915,-0.185765087038344,0.0183464228406304,-0.244328426550971,-0.366875984459264,-0.240340172222348,-0.37786845742414,-0.239668273659548,-0.173042591661434,-0.345767037557985,-0.28851606280023,-0.312493281785763,-0.118199675229496,-0.222568632298528,-0.288795175999358,-0.351308550902354,-0.248746771317104,-0.210969419740217,-0.328199639536139,-0.305019971807317,-0.235021322039958,-0.239762195353496,-0.0151698040360147,0.0639943763888897,-0.037393430720895,-0.0835218515831677,-0.0633588403205444,0.0672148099595462,-0.0639519738557111,-0.06258940634776,0.116576660963706,-0.0628056444407378,0.185591597173449,-0.373939834717393,-0.158554819142903,-0.179588415272441,-0.127860414414061,-0.298647085477736,-0.089298980614729,-0.462617520565956,0.143927172842118,0.0543996380546592,-0.624929545145042,-0.252675927001541,-0.181828785978881,-0.642733983346092,-0.1428618454311,-0.37633860173534,-0.355229517296051,-0.193259922359398,-1.2815279694948,-0.278584166545951,-0.30287846160241,-0.27858416654595,-0.193259922359394,-0.37633860173534,"No",NA,0.04
